Satellite,Day (human),Day (ordinal),Start Time (UTC),Band(s),Main Artifact,2nd Artifact,Comments,Lat/Lon,Line/Element,16-panel Imagery Link,Level-1b Path
GOES-17,02/09/2020,2020040,04:10:31,11,Sharkfin,,FD,"15N,165W","1915,1308",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200209/fd/16panel/medium/16panel_2020040_041031_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_02_09_040/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020040041031*.nc
GOES-17,02/09/2020,2020040,04:20:31,15,Sharkfin,,FD,"22S,160W","3865,1590",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200209/fd/16panel/medium/16panel_2020040_042031_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_02_09_040/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020040042031*.nc
GOES-17,02/09/2020,2020040,05:10:31,15,Sharkfin,,FD,"17N,160W","1807,1548",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200209/fd/16panel/medium/16panel_2020040_051031_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_02_09_040/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020040051031*.nc
GOES-17,02/09/2020,2020040,06:20:31,5,Sharkfin?,,FD,"22S,170E","3811,540,",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200209/fd/16panel/medium/16panel_2020040_062031_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_02_09_040/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020040062031*.nc
GOES-17,02/09/2020,2020040,06:20:31,"11,12",Sharkfin?,,FD,"5S,165W","2983,1260",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200209/fd/16panel/medium/16panel_2020040_062031_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_02_09_040/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020040062031*.nc
GOES-17,02/09/2020,2020040,06:30:31,5,Sharkfin?,,FD,"22S,170E","3811,540",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200209/fd/16panel/medium/16panel_2020040_063031_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_02_09_040/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020040063031*.nc
GOES-17,02/09/2020,2020040,07:10:31,11,Sharkfin,,FD,"22S,165W","3859,1374",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200209/fd/16panel/medium/16panel_2020040_071031_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_02_09_040/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020040071031*.nc
GOES-17,02/09/2020,2020040,07:20:31,16,Sharkfin,,FD,"22S,165W","3859,1374",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200209/fd/16panel/medium/16panel_2020040_072031_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_02_09_040/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020040072031*.nc
GOES-17,02/09/2020,2020040,16:30:32,10,Sharkfin,,FD,"22S,165W","3859,1374",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200209/fd/16panel/medium/16panel_2020040_163032_WESTB_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_02_09_040/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020040163032*.nc
GOES-17,02/09/2020,2020040,17:10:32,16,Sharkfin,,FD,"22S,165W","3859,1374",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200209/fd/16panel/medium/16panel_2020040_171032_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_02_09_040/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020040171032*.nc
